# DFOS Guardrails Baseline (Tier 2.1)
# Created: 2026-01-29 15:56:02
# Total: 205 known violations
#
# Format: RULE|FILE|SIGNATURE
# Signature = sha1(matched_line)[0:12] for precise delta detection

ENV-LOCATION|dealflow-frontend/google.env|054f73d256b6
IMPORT-NO-FILESIZE|dealflow-frontend/web/src/components/leads.import.ts|5f144cdb549d
IMPORT-NO-ROWLIMIT|dealflow-frontend/web/src/components/leads.import.ts|067937e955b8
IMPORT-NO-PARITY|dealflow-frontend/web/src/components/leads.import.ts|a5e95e255ccf
ORGID-CAST|server/src/routes/billing.ts|9854e3e4599f
ORGID-CAST|server/src/routes/billing.ts|98e9d9c89712
ORGID-INVARIANT|server/src/routes/billing.ts|cd27ce3ba896
ORGID-CAST|server/src/routes/calendar.ts|c6ef033fd3c5
ORGID-CAST|server/src/routes/calendar.ts|fdfd42b168ca
ORGID-CAST|server/src/routes/calendar.ts|b597ecb2433b
ORGID-CAST|server/src/routes/calendar.ts|a34c01786bb0
ORGID-CAST|server/src/routes/calendar.ts|71c20e486c52
ORGID-INVARIANT|server/src/routes/calendar.ts|cd27ce3ba896
ORGID-CAST|server/src/routes/kpis.dev.ts|5454bdfa1981
ORGID-CAST|server/src/routes/kpis.dev.ts|ee022e5c85ce
ORGID-CAST|server/src/routes/kpis.dev.ts|c7682c9009b5
ORGID-CAST|server/src/routes/kpis.ts|0c6106513fa9
ORGID-CAST|server/src/routes/kpis.ts|b8b515c308a6
ORGID-CAST|server/src/routes/leads.dev.ts|33ce4b2f18a8
ORGID-CAST|server/src/routes/leads.dev.ts|613c66669a16
ORGID-CAST|server/src/routes/leads.dev.ts|10d21fe9129e
ORGID-CAST|server/src/routes/leads.dev.ts|aa97094c7890
ORGID-CAST|server/src/routes/leads.dev.ts|5cedec282d5a
ORGID-CAST|server/src/routes/leads.dev.ts|49b74ae936a5
ORGID-CAST|server/src/routes/leads.dev.ts|d67be7b1136c
ORGID-INVARIANT|server/src/routes/leads.dev.ts|cd27ce3ba896
ORGID-CAST|server/src/routes/leads.import.ts|73398e872ffb
ORGID-CAST|server/src/routes/leads.import.ts|925d9a7b4013
ORGID-INLINE|server/src/routes/leads.import.ts|e2481dc2f668
ORGID-DEV-HEADER|server/src/routes/leads.import.ts|e2481dc2f668
IMPORT-NO-FILESIZE|server/src/routes/leads.import.ts|5f144cdb549d
REACT-FRAGMENT|web/src/ProtectedRoute.tsx|8ebd462e0894
REACT-FRAGMENT|web/src/ProtectedRoute.tsx|8ebd462e0894
REACT-RETURN-NULL|web/src/components/AccountPanel.tsx|1655a82d0bcd
REACT-EARLY-RETURN|web/src/components/AccountPanel.tsx|1655a82d0bcd
REACT-EARLY-RETURN|web/src/components/KpiCard.tsx|2994a8e3e504
REACT-EARLY-RETURN|web/src/components/KpiCard.tsx|621d517ad717
REACT-EARLY-RETURN|web/src/components/LeadImport.tsx|461a439cbe2d
REACT-EARLY-RETURN|web/src/components/LeadImport.tsx|af9d4f0c0e6c
REACT-RETURN-NULL|web/src/components/attention/AttentionSignalList.tsx|8cc1a7eed1d7
REACT-FRAGMENT|web/src/components/attention/DealNeedsAttention.tsx|9338d0cae882
REACT-FRAGMENT|web/src/components/attention/DealNeedsAttention.tsx|610f3aa6a266
REACT-RETURN-NULL|web/src/components/attention/DealNeedsAttention.tsx|d862fcdb4259
REACT-RETURN-NULL|web/src/components/attention/DealNeedsAttention.tsx|b6f24db7bec7
REACT-EARLY-RETURN|web/src/components/attention/DealNeedsAttention.tsx|613f95564b17
REACT-EARLY-RETURN|web/src/components/attention/DealNeedsAttention.tsx|9a742e1851f3
REACT-RETURN-NULL|web/src/components/billing/BillingHistoryModal.tsx|b3b3eddc79f6
REACT-EARLY-RETURN|web/src/components/billing/BillingHistoryModal.tsx|b3b3eddc79f6
REACT-RETURN-NULL|web/src/components/calendar/EventModal.tsx|494f16b763bb
REACT-EARLY-RETURN|web/src/components/calendar/EventModal.tsx|649a3a67409f
REACT-EARLY-RETURN|web/src/components/calendar/EventModal.tsx|494f16b763bb
REACT-FRAGMENT|web/src/components/layout/SidebarNav.tsx|b93788ff7bbc
REACT-FRAGMENT|web/src/components/layout/SidebarNav.tsx|0aafc39a34f6
REACT-FRAGMENT|web/src/components/layout/TopNav.tsx|e39f6846e507
REACT-FRAGMENT|web/src/components/layout/TopNav.tsx|74895890ee14
IMPORT-NO-FILESIZE|web/src/components/leads.import.ts|5f144cdb549d
IMPORT-NO-ROWLIMIT|web/src/components/leads.import.ts|067937e955b8
IMPORT-NO-PARITY|web/src/components/leads.import.ts|a5e95e255ccf
REACT-FRAGMENT|web/src/components/legal/AssignmentMetadataPanel.tsx|6c8449b10877
REACT-FRAGMENT|web/src/components/legal/AssignmentMetadataPanel.tsx|5d3260766e58
REACT-FRAGMENT|web/src/components/legal/ContractMetadataPanel.tsx|21aa5dbe4332
REACT-FRAGMENT|web/src/components/legal/ContractMetadataPanel.tsx|6a222c370dfd
REACT-RETURN-NULL|web/src/components/legal/LegalHub.tsx|8744ffa7ddcf
REACT-RETURN-NULL|web/src/components/legal/NeedsAttentionSignals.tsx|b278135a9999
REACT-RETURN-NULL|web/src/components/legal/NeedsAttentionSignals.tsx|1a7717710e3f
REACT-FRAGMENT|web/src/components/legal/OpenIssuesPanel.tsx|9e3643317d0e
REACT-FRAGMENT|web/src/components/legal/OpenIssuesPanel.tsx|3a791162d345
REACT-FRAGMENT|web/src/components/legal/OpenIssuesPanel.tsx|a05b153f5bde
REACT-FRAGMENT|web/src/components/legal/OpenIssuesPanel.tsx|cc43a3574540
REACT-FRAGMENT|web/src/components/legal/OpenIssuesPanel.tsx|47272dca239e
REACT-FRAGMENT|web/src/components/legal/OpenIssuesPanel.tsx|c2981b2e2be2
REACT-RETURN-NULL|web/src/components/legal/OpenIssuesPanel.tsx|e309cb52b366
REACT-EARLY-RETURN|web/src/components/legal/OpenIssuesPanel.tsx|5037a011b260
REACT-EARLY-RETURN|web/src/components/legal/OpenIssuesPanel.tsx|a115f5194f48
REACT-EARLY-RETURN|web/src/components/legal/OpenIssuesPanel.tsx|11f0b8a68ad6
REACT-EARLY-RETURN|web/src/components/legal/OpenIssuesPanel.tsx|2d73ada56e6d
REACT-RETURN-NULL|web/src/components/legal/StageTransitionModal.tsx|ef749d49fd56
REACT-EARLY-RETURN|web/src/components/legal/StageTransitionModal.tsx|ef749d49fd56
REACT-FRAGMENT|web/src/components/legal/TitleMetadataPanel.tsx|0f5b9bf6c690
REACT-FRAGMENT|web/src/components/legal/TitleMetadataPanel.tsx|3831ef5879d6
REACT-RETURN-NULL|web/src/components/modals/BillingModal.tsx|1ab771e9bb3c
REACT-EARLY-RETURN|web/src/components/modals/BillingModal.tsx|1ab771e9bb3c
REACT-RETURN-NULL|web/src/components/modals/ConfirmDialog.tsx|22031c05e2d0
REACT-EARLY-RETURN|web/src/components/modals/ConfirmDialog.tsx|22031c05e2d0
REACT-FRAGMENT|web/src/components/ui/NotificationTray.tsx|edc38e8feced
REACT-FRAGMENT|web/src/components/ui/NotificationTray.tsx|6de3aeb43b26
REACT-EARLY-RETURN|web/src/components/ui/SimpleTimeEditor.tsx|56e0d8823d72
REACT-EARLY-RETURN|web/src/features/dashboard/KpiChart.tsx|7146061e2a90
REACT-RETURN-NULL|web/src/features/dashboard/KpiOverview.tsx|ec14473df4cf
REACT-EARLY-RETURN|web/src/features/dashboard/KpiOverview.tsx|ec14473df4cf
REACT-RETURN-NULL|web/src/features/dashboard/LeadSourcesPieChart.tsx|7eaf48a83d01
REACT-RETURN-NULL|web/src/features/dashboard/LeadSourcesPieChart.tsx|27bb40927a73
REACT-EARLY-RETURN|web/src/features/dashboard/LeadSourcesPieChart.tsx|7eaf48a83d01
REACT-EARLY-RETURN|web/src/features/dashboard/LeadSourcesPieChart.tsx|27bb40927a73
REACT-RETURN-NULL|web/src/features/dashboard/NeonLineChart.tsx|aaaedb1410ea
REACT-EARLY-RETURN|web/src/features/dashboard/NeonLineChart.tsx|aaaedb1410ea
REACT-RETURN-NULL|web/src/features/dashboard/NeonPieChart.tsx|89285eaaf7aa
REACT-RETURN-NULL|web/src/features/dashboard/NeonPieChart.tsx|a768ebcb94a9
REACT-EARLY-RETURN|web/src/features/dashboard/NeonPieChart.tsx|89285eaaf7aa
REACT-EARLY-RETURN|web/src/features/dashboard/NeonPieChart.tsx|a768ebcb94a9
